Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,LGBM,95%,BU_IR,0.9979501475893736,22.89718528139534,0.22279421546452546
11,LGBM,95%,BU_IR,0.9818051195552016,7.672497016357322,0.8362012671067758
12,LGBM,95%,BU_IR,0.9270861640819004,2.38265031470215,1.7879833662361402
10,LGBM,99%,BU_IR,0.9995548891908353,31.633736144352717,0.3145874766147408
11,LGBM,99%,BU_IR,0.993643505286667,10.559664982846282,1.5984030303473995
12,LGBM,99%,BU_IR,0.9590146652298177,3.2159207144013378,5.233621644301983
10,LGBM_BU,90%,BU_IR,0.9941901325961674,18.258593360208145,0.2652724497250897
11,LGBM_BU,90%,BU_IR,0.9671945524684128,6.1559976284505735,0.7166227253390877
12,LGBM_BU,90%,BU_IR,0.899572459354355,1.9537272807352866,1.1773387474027632
10,LGBM_BU,95%,BU_IR,0.9979501475893736,22.89718528139534,0.22279421546452546
11,LGBM_BU,95%,BU_IR,0.9818051195552016,7.672497016357322,0.8362012671067758
12,LGBM_BU,95%,BU_IR,0.9270861640819004,2.38265031470215,1.7879833662361402
10,LGBM_BU,99%,BU_IR,0.9995548891908353,31.633736144352717,0.3145874766147408
11,LGBM_BU,99%,BU_IR,0.993643505286667,10.559664982846282,1.5984030303473995
12,LGBM_BU,99%,BU_IR,0.9590146652298177,3.2159207144013378,5.233621644301983
10,LGBM_TD,90%,BU_IR,0.9938621562104671,18.115252402863707,0.23322208132867234
11,LGBM_TD,90%,BU_IR,0.9641763888238142,6.107557745651908,0.7000031960522795
12,LGBM_TD,90%,BU_IR,0.8942826687907042,1.9398490950477767,1.1782369009855123
10,LGBM_TD,95%,BU_IR,0.9977158787424448,22.75633192187592,0.19714269602391937
11,LGBM_TD,95%,BU_IR,0.9800324852801074,7.624994337590135,0.8171711410063558
12,LGBM_TD,95%,BU_IR,0.9227486763810149,2.368931829211815,1.792388373062653
10,LGBM_TD,99%,BU_IR,0.9995314623061425,31.49445991611027,0.30649082717747267
11,LGBM_TD,99%,BU_IR,0.9929094628996236,10.513167971448853,1.588615550856828
12,LGBM_TD,99%,BU_IR,0.9564189664058473,3.202366277763946,5.269757411856758
10,LGBM_MinT,90%,BU_IR,0.9938153024410814,18.123470588535127,0.23505329933763766
11,LGBM_MinT,90%,BU_IR,0.9641295350544284,6.109609432799501,0.6944242293693343
12,LGBM_MinT,90%,BU_IR,0.8940683127957644,1.9404562051222267,1.1764876463521912
10,LGBM_MinT,95%,BU_IR,0.9977275921847912,22.680174399649715,0.2053318239675349
11,LGBM_MinT,95%,BU_IR,0.9797435537022287,7.599734072477399,0.8222867872782142
12,LGBM_MinT,95%,BU_IR,0.9220341563978822,2.361752993290619,1.8015086955840518
10,LGBM_MinT,99%,BU_IR,0.9994846085367568,31.25919449771743,0.30793991175173574
11,LGBM_MinT,99%,BU_IR,0.9926556716487841,10.43515226300575,1.629302250144592
12,LGBM_MinT,99%,BU_IR,0.9554022396101767,3.1797357049267054,5.358603251516477
10,ETS,90%,BU_IR,0.9849482265848287,16.597891359202503,0.5236200549542006
11,ETS,90%,BU_IR,0.9464500460728732,5.625025589989751,1.0060962506183304
12,ETS,90%,BU_IR,0.8762041418732137,1.803834109992814,1.3487667721484928
10,ETS,95%,BU_IR,0.9939910040762779,21.170734794490226,0.45045878286154856
11,ETS,95%,BU_IR,0.9687602492620532,7.11273056024313,1.2107132071351974
12,ETS,95%,BU_IR,0.9070854612753596,2.224119700707653,2.0789240822001265
