Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
10,LGBM,90%,Shrinkage,0.6654875134704586,3.3314153208849486,15.984345324514866
11,LGBM,90%,Shrinkage,0.7149182401724219,1.9480840119291274,7.467731293429329
12,LGBM,90%,Shrinkage,0.7932811694700839,1.2267045151561602,3.010827070628869
10,LGBM,95%,Shrinkage,0.6692709553483578,3.4722861044103555,33.86661961606191
11,LGBM,95%,Shrinkage,0.7185611207421637,2.025955299337928,15.776060354031308
12,LGBM,95%,Shrinkage,0.7951799184744412,1.266373189220269,6.358944570652968
10,LGBM,99%,Shrinkage,0.6729606896874853,3.6659326312084213,180.22623815497548
11,LGBM,99%,Shrinkage,0.7206539224413937,2.1301501623646346,83.16938077949432
12,LGBM,99%,Shrinkage,0.796416857986225,1.3198063498748696,33.398233214629855
10,LGBM_MinT,90%,Shrinkage,0.6549102750316262,3.246355836185231,15.111503387337228
11,LGBM_MinT,90%,Shrinkage,0.7065977916256696,1.8798206371118322,7.204635372850352
12,LGBM_MinT,90%,Shrinkage,0.7861992222274282,1.1592701562634546,3.00115851850647
10,LGBM_MinT,95%,Shrinkage,0.6626880007496603,3.409965788752952,31.650091023957785
11,LGBM_MinT,95%,Shrinkage,0.7117478017773197,1.9677836203341883,15.14813134170537
12,LGBM_MinT,95%,Shrinkage,0.7887023848568617,1.2023935083354464,6.324880441999585
10,LGBM_MinT,99%,Shrinkage,0.6691889612519327,3.6183671739616767,166.64436314224537
11,LGBM_MinT,99%,Shrinkage,0.7156835184057224,2.080794216380953,79.58476337918256
12,LGBM_MinT,99%,Shrinkage,0.790884599166003,1.2598051936642976,33.15448337234029
10,ETS,90%,Shrinkage,0.8227639038560652,6.9000820559716916,5.328574957501479
11,ETS,90%,Shrinkage,0.7936130503365663,2.854701611232985,3.854221426653069
12,ETS,90%,Shrinkage,0.816538209248934,1.3127213958133679,2.271071296285291
10,ETS,95%,Shrinkage,0.820210373424542,6.8975396000404805,11.656354203530306
11,ETS,95%,Shrinkage,0.793257742585391,2.8931041487439657,8.33431414557891
12,ETS,95%,Shrinkage,0.8175233097502694,1.3399669169684028,4.873983022858715
10,ETS,99%,Shrinkage,0.8172468725108935,6.981724930357379,64.11728562550103
11,ETS,99%,Shrinkage,0.7923440940823689,2.9701101817478373,45.117151819786756
12,ETS,99%,Shrinkage,0.8184029892704868,1.3848432079425033,26.03972754708845
10,ETS_MinT,90%,Shrinkage,0.5999625169844914,2.6448029833960978,18.448368578935977
11,ETS_MinT,90%,Shrinkage,0.6633205266363679,1.546702435814543,8.234397582518396
12,ETS_MinT,90%,Shrinkage,0.7521095909665932,0.8981890082249285,3.5618837700009665
10,ETS_MinT,95%,Shrinkage,0.6075645410673288,2.761691459967824,38.82977972552717
11,ETS_MinT,95%,Shrinkage,0.6685642443267894,1.612007232218624,17.427236665256963
12,ETS_MinT,95%,Shrinkage,0.7543386590451202,0.9317297595448137,7.535313129687231
10,ETS_MinT,99%,Shrinkage,0.618563463430633,2.9600848546304332,199.9626618890818
11,ETS_MinT,99%,Shrinkage,0.6755610738883944,1.7165139256607433,90.57513826012216
12,ETS_MinT,99%,Shrinkage,0.7568757906573584,0.9832128756916159,39.29384039169502
10,LGBM,90%,OLS,0.9214028018554092,8.086766768132248,2.438693880924314
11,LGBM,90%,OLS,0.8705976979181308,3.2470550254886783,2.5489738418026255
12,LGBM,90%,OLS,0.8578936887972637,1.5524200790040352,1.7096400282727007
10,LGBM,95%,OLS,0.9525137047275454,10.168664603182167,2.9888711457003514
11,LGBM,95%,OLS,0.9022630370613316,3.891676936559329,3.9470855392965998
12,LGBM,95%,OLS,0.8749730590826031,1.7424709100425881,3.100530841731804
10,LGBM,99%,OLS,0.9812467788033548,14.195790276962422,6.053445290381046
11,LGBM,99%,OLS,0.9411711880554124,5.15572806461047,11.807573399477636
12,LGBM,99%,OLS,0.9006102703462494,2.1040267974008393,12.433725646800292
10,LGBM_MinT,90%,OLS,0.9183573068453357,8.108477549199273,2.403100103410461
11,LGBM_MinT,90%,OLS,0.8644403317246873,3.203747884208793,2.56334391496811
12,LGBM_MinT,90%,OLS,0.8492128566743194,1.4960459961386456,1.786834498696581
10,LGBM_MinT,95%,OLS,0.950171016258258,10.136903817688308,3.0057811586397087
11,LGBM_MinT,95%,OLS,0.8968123818894563,3.8310487892940346,4.004242761603914
12,LGBM_MinT,95%,OLS,0.8666717424916834,1.6808406293750324,3.2640859567091827
10,LGBM_MinT,99%,OLS,0.9799583001452467,14.05645979831363,6.300217818933718
11,LGBM_MinT,99%,OLS,0.937137859407456,5.059637539510308,12.19508651056369
12,LGBM_MinT,99%,OLS,0.8928114604319918,2.0310022342349656,13.26572052409815
10,ETS,90%,OLS,0.9020404816567493,8.47719538379193,3.1313615737853433
11,ETS,90%,OLS,0.8457066329319527,3.1985649659281794,2.8738360669133103
12,ETS,90%,OLS,0.8279798997329335,1.3438541254602494,2.0210491326064175
10,ETS,95%,OLS,0.9385395680082462,10.655948146528502,3.896226604847311
11,ETS,95%,OLS,0.8819558325133924,3.879551003918051,4.473176523744916
12,ETS,95%,OLS,0.8471407487232347,1.5403303078494248,3.676608413979522
10,ETS,99%,OLS,0.9750620812444362,14.889895992442192,7.9677771132377595
11,ETS,99%,OLS,0.927856908588296,5.216443341639612,13.514933956902897
12,ETS,99%,OLS,0.8766433959612051,1.9177977267739956,14.80595627581637
10,ETS_MinT,90%,OLS,0.8923066110668604,7.503643740214872,3.3644851480012425
