Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs
11,ETS_MinT,90%,BASE,0.860063408767902,3.266387470913084,2.562648122462301
12,ETS_MinT,90%,BASE,0.8707327929531931,1.7161309040517272,1.405378676930103
10,ETS_MinT,95%,BASE,0.893290540223961,7.764261599484028,6.776200588119731
11,ETS_MinT,95%,BASE,0.8997719783223227,4.053012347266447,3.781085348214397
12,ETS_MinT,95%,BASE,0.9020217401489948,2.1091508419129275,2.194073810014209
10,ETS_MinT,99%,BASE,0.9450522419528652,10.815532363154604,17.022361340015422
11,ETS_MinT,99%,BASE,0.9452279435880616,5.597596081148759,10.450248757435755
12,ETS_MinT,99%,BASE,0.9412254603382842,2.875973920393834,6.71692689760844
10,ETS,90%,BU_IR,0.9849482265848288,16.597891359202503,0.5236200549542006
11,ETS,90%,BU_IR,0.9464500460728732,5.625025589989751,1.0060962506183304
12,ETS,90%,BU_IR,0.8762041418732137,1.803834109992814,1.3487667721484928
10,ETS,95%,BU_IR,0.993991004076278,21.170734794490222,0.4504587828615485
11,ETS,95%,BU_IR,0.9687602492620532,7.11273056024313,1.2107132071351974
12,ETS,95%,BU_IR,0.9070854612753596,2.224119700707653,2.0789240822001265
10,ETS,99%,BU_IR,0.9987818019959706,29.803930689197315,0.5465731124129467
11,ETS,99%,BU_IR,0.9882826531727812,9.95684499214278,2.3801325160948927
12,ETS,99%,BU_IR,0.945332193224945,3.0428178176424843,6.234707434793849
10,ETS_BU,90%,BU_IR,0.9849482265848288,16.59789136872041,0.5236200549672533
11,ETS_BU,90%,BU_IR,0.9464500460728732,5.625025593059793,1.0060962496993315
12,ETS_BU,90%,BU_IR,0.8762041418732137,1.8038341108377325,1.3487667711879492
10,ETS_BU,95%,BU_IR,0.993991004076278,21.17073480663453,0.4504587809907798
11,ETS_BU,95%,BU_IR,0.9687602492620532,7.11273056424758,1.210713205682231
12,ETS_BU,95%,BU_IR,0.9070854612753596,2.224119701829104,2.0789240802464555
10,ETS_BU,99%,BU_IR,0.9987818019959706,29.80393070654969,0.5465731111866956
11,ETS_BU,99%,BU_IR,0.9882826531727812,9.956844997897056,2.380132512731505
12,ETS_BU,99%,BU_IR,0.945332193224945,3.04281781934384,6.234707431317044
10,ETS_TD,90%,BU_IR,0.9840345780818068,15.907096447661552,0.5489244904982384
11,ETS_TD,90%,BU_IR,0.9426314638679348,5.402361383371625,1.0829379375260522
12,ETS_TD,90%,BU_IR,0.8713758609380124,1.741466400626526,1.411703251793171
10,ETS_TD,95%,BU_IR,0.9935341798247668,20.208253343915768,0.4701883427547897
11,ETS_TD,95%,BU_IR,0.966210623311312,6.797567095108277,1.3248997431756344
12,ETS_TD,95%,BU_IR,0.9021131049992972,2.134440502241908,2.2057070234317817
10,ETS_TD,99%,BU_IR,0.9986178138031204,28.33423392893873,0.5885062037929335
11,ETS_TD,99%,BU_IR,0.9869160848990302,9.469807538339593,2.677395375239098
12,ETS_TD,99%,BU_IR,0.9412512299114464,2.901074539308167,6.756314115394312
10,ETS_MinT,90%,BU_IR,0.985006793796561,15.65550953477429,0.5015912176141181
11,ETS_MinT,90%,BU_IR,0.9435568258133034,5.315673087026976,1.0417262514579604
12,ETS_MinT,90%,BU_IR,0.8707327929531931,1.7161309040517272,1.405378676930103
10,ETS_MinT,95%,BU_IR,0.993803588998735,19.959951900273524,0.4411642418826502
11,ETS_MinT,95%,BU_IR,0.9665385996970124,6.71307956479025,1.2825377765767112
12,ETS_MinT,95%,BU_IR,0.9020217401489948,2.1091508419129275,2.194073810014209
10,ETS_MinT,99%,BU_IR,0.9986178138031204,28.087190019424668,0.5868997092301989
11,ETS_MinT,99%,BU_IR,0.9871972075153446,9.386872131808554,2.6187036444427894
