Levels,Forecast_Methods,Target_Service_Level,Senario,Achieved_Service_Level,Holding_Costs,Backlogging_Costs,Group
10,LGBM,90%,BASE,0.8685008450144149,8.501711836441439,4.941229299783646,FOODS
11,LGBM,90%,BASE,0.882429614181439,3.8087699438952707,2.3706220506129263,FOODS
12,LGBM,90%,BASE,0.8987415036656674,1.9857924456554987,1.204011988804645,FOODS
10,LGBM,95%,BASE,0.9105527388408391,10.628379363057695,6.655201975378476,FOODS
11,LGBM,95%,BASE,0.9185562612569912,4.723445087957792,3.380121767921095,FOODS
12,LGBM,95%,BASE,0.926485065249869,2.4230018238274025,1.827545156020786,FOODS
10,LGBM,99%,BASE,0.9577989859827021,14.798470689653884,15.234703208917121,FOODS
11,LGBM,99%,BASE,0.9584510380130818,6.51320239563324,8.817886139519949,FOODS
12,LGBM,99%,BASE,0.9586746707825037,3.2724755897986357,5.338996748600893,FOODS
10,ETS,90%,BASE,0.8666616959936375,9.712345449772066,5.601577631842812,FOODS
11,ETS,90%,BASE,0.870940373495118,3.8911414104563136,2.5654225673486266,FOODS
12,ETS,90%,BASE,0.8757259604444313,1.8398554468979138,1.3731681638146402,FOODS
10,ETS,95%,BASE,0.907446068197634,12.098744619300497,7.570946468453875,FOODS
11,ETS,95%,BASE,0.9090909090909091,4.830030812099932,3.7057995171669638,FOODS
12,ETS,95%,BASE,0.9069521533940815,2.2687506031459876,2.114569316941869,FOODS
10,ETS,99%,BASE,0.954965702356099,16.77648172767527,17.45506981652726,FOODS
11,ETS,99%,BASE,0.9519433121622902,6.666083195882086,9.816315191537509,FOODS
12,ETS,99%,BASE,0.9453835346729591,3.1042612066492765,6.329341476179137,FOODS
10,LGBM,90%,BU_IR,0.9925439904563078,22.49019138210293,0.38675829884784074,FOODS
11,LGBM,90%,BU_IR,0.9663475210920467,6.619464410464227,0.7733733266466425,FOODS
12,LGBM,90%,BU_IR,0.8987415036656674,1.9857924456554987,1.204011988804645,FOODS
10,LGBM,95%,BU_IR,0.9974152500248533,28.4514070813711,0.3253886050305712,FOODS
11,LGBM,95%,BU_IR,0.9813584225992985,8.26780135089009,0.8978612758819204,FOODS
12,LGBM,95%,BU_IR,0.926485065249869,2.4230018238274025,1.827545156020786,FOODS
10,LGBM,99%,BU_IR,0.9993786658713589,39.68331489166697,0.5212586248118136,FOODS
11,LGBM,99%,BU_IR,0.9935965494359655,11.406221892496438,1.705249343116447,FOODS
12,LGBM,99%,BU_IR,0.9586746707825037,3.2724755897986357,5.338996748600893,FOODS
10,LGBM_BU,90%,BU_IR,0.9925439904563078,22.49019138210293,0.38675829884784074,FOODS
11,LGBM_BU,90%,BU_IR,0.9663475210920467,6.619464410464227,0.7733733266466425,FOODS
12,LGBM_BU,90%,BU_IR,0.8987415036656674,1.9857924456554987,1.204011988804645,FOODS
10,LGBM_BU,95%,BU_IR,0.9974152500248533,28.4514070813711,0.3253886050305712,FOODS
11,LGBM_BU,95%,BU_IR,0.9813584225992985,8.26780135089009,0.8978612758819204,FOODS
12,LGBM_BU,95%,BU_IR,0.926485065249869,2.4230018238274025,1.827545156020786,FOODS
10,LGBM_BU,99%,BU_IR,0.9993786658713589,39.68331489166697,0.5212586248118136,FOODS
11,LGBM_BU,99%,BU_IR,0.9935965494359655,11.406221892496438,1.705249343116447,FOODS
12,LGBM_BU,99%,BU_IR,0.9586746707825037,3.2724755897986357,5.338996748600893,FOODS
10,ETS,90%,BU_IR,0.9840689929416443,21.65160624590567,0.6977181666216781,FOODS
11,ETS,90%,BU_IR,0.9475068726893544,6.124110234483417,1.0622277957995505,FOODS
